cokey,mrulekey,mrulename,seqnum,rulekey,rulename,ruledepth,interpll,interpllc,interplr,interplrc,interphr,interphrc,interphh,interphhc,nullpropdatabool,defpropdatabool,incpropdatabool,cointerpkey
17484894,54955,NCCPI - National Commodity Crop Productivity Index (Ver 3.0),0,54955,NCCPI - National Commodity Crop Productivity Index (Ver 3.0),0,0.594,Moderate inherent productivity,0.689,Moderately high inherent productivity,0.689,Moderately high inherent productivity,0.755,Moderately high inherent productivity,0,0,0,1555096601
17484894,54955,NCCPI - National Commodity Crop Productivity Index (Ver 3.0),1,46238,Impacted soil,1,0,No limitation,0,No limitation,0,No limitation,0,No limitation,0,0,0,1555096602
17484894,54955,NCCPI - National Commodity Crop Productivity Index (Ver 3.0),2,37150,NCCPI - NCCPI Cotton Submodel (II),1,0.39,Cotton,0.39,Cotton,0.39,Cotton,0.432,Cotton,0,0,0,1555096603
17484894,54955,NCCPI - National Commodity Crop Productivity Index (Ver 3.0),3,37149,NCCPI - NCCPI Small Grains Submodel (II),1,0.383,Small grains,0.419,Small grains,0.419,Small grains,0.436,Small grains,0,0,0,1555096604
17484894,54955,NCCPI - National Commodity Crop Productivity Index (Ver 3.0),4,44492,NCCPI - NCCPI Soybeans Submodel (I),1,0.593,Soybeans,0.626,Soybeans,0.626,Soybeans,0.653,Soybeans,0,0,0,1555096605
17484894,54955,NCCPI - National Commodity Crop Productivity Index (Ver 3.0),5,57994,NCCPI - NCCPI Corn Submodel (I),1,0.594,Corn,0.689,Corn,0.689,Corn,0.755,Corn,0,0,0,1555096606
17484894,62835,SOH -  Suitability for Aerobic Soil Organisms,0,62835,SOH -  Suitability for Aerobic Soil Organisms,0,0.125,Somewhat favorable,0.269,Somewhat favorable,0.269,Somewhat favorable,0.5,Somewhat favorable,0,0,0,1555096607
17484894,62835,SOH -  Suitability for Aerobic Soil Organisms,1,63588,SOH - Organisms Clay Content WTD_AVG to 30 cm,1,0.125,Clay content somewhat favorable,0.269,Clay content somewhat favorable,0.269,Clay content somewhat favorable,0.5,Clay content somewhat favorable,0,0,0,1555096608
17484894,62835,SOH -  Suitability for Aerobic Soil Organisms,2,62841,SOH - Organic Matter to a Depth of 30 cm,1,0.389,Organic matter content low,0.519,Organic matter content low,0.519,Organic matter content low,0.97,Organic matter content low,0,0,0,1555096609
17484894,62835,SOH -  Suitability for Aerobic Soil Organisms,3,62842,SOH - Organism Habitat - Bulk Density Suitability 0 to 30cm,1,0.797,Bulk density suited,0.797,Bulk density suited,0.797,Bulk density suited,0.797,Bulk density suited,0,0,0,1555096610
17484894,62835,SOH -  Suitability for Aerobic Soil Organisms,4,62840,SOH - Soil Organisms - Moisture Relations,1,0.781,Soil water somewhat favorable,0.823,Soil water somewhat favorable,0.823,Soil water somewhat favorable,0.987,Soil water somewhat favorable,0,0,0,1555096611
17484894,62835,SOH -  Suitability for Aerobic Soil Organisms,5,62837,SOH - Organism Habitat - Mean Annual Air Temperature,1,0.922,Mean Annual Air Temperature,0.922,Mean Annual Air Temperature,0.922,Mean Annual Air Temperature,0.922,Mean Annual Air Temperature,0,0,0,1555096612
17484894,62848,SOH - Agricultural Organic Soil Subsidence,0,62848,SOH - Agricultural Organic Soil Subsidence,0,0,Mineral soil,0,Mineral soil,0,Mineral soil,0,Mineral soil,0,1,0,1555096613
17484894,62848,SOH - Agricultural Organic Soil Subsidence,1,62850,SOH - Flooding and Ponding,1,1,Flooding and ponding,1,Flooding and ponding,1,Flooding and ponding,1,Flooding and ponding,0,1,0,1555096614
17484894,62848,SOH - Agricultural Organic Soil Subsidence,2,62851,SOH - Salinity,1,1,Not saline,1,Not saline,1,Not saline,1,Not saline,0,0,0,1555096615
17484894,62848,SOH - Agricultural Organic Soil Subsidence,3,63589,SAS - Drainage Class Not Subaqueous (suit),1,1,Subaerial,1,Subaerial,1,Subaerial,1,Subaerial,0,0,0,1555096616
17484894,62848,SOH - Agricultural Organic Soil Subsidence,4,63580,SOH - Subsidence pH,1,0.991,pH,1,pH,1,pH,1,pH,0,0,0,1555096617
17484894,62848,SOH - Agricultural Organic Soil Subsidence,5,62849,"SOH - Organic Soil Subsidence, Frost-free Days",1,0.575,Frost-free days,0.575,Frost-free days,0.575,Frost-free days,0.575,Frost-free days,0,0,0,1555096618
