structgrpname,rvindicator,chkey,chstructgrpkey
weak fine granular structure,Yes,51074742,27183942
moderate medium angular blocky structure,Yes,51074743,27183943
structureless massive structure,Yes,51074744,27183944
moderate fine prismatic structure,Yes,51074745,27183945
weak fine granular structure,Yes,51074746,27184005
moderate fine prismatic structure parts to moderate medium subangular blocky structure,Yes,51074747,27184006
weak medium and coarse prismatic structure,Yes,51074748,27184007
structureless massive structure,Yes,51074749,27184008
weak fine granular structure,Yes,51074750,27183938
moderate medium prismatic structure parts to moderate medium angular blocky structure,Yes,51074751,27183939
weak coarse subangular blocky structure,Yes,51074752,27183940
structureless massive structure,Yes,51074753,27183941
weak fine granular structure,Yes,51074807,27183757
moderate fine prismatic structure parts to moderate medium subangular blocky structure,Yes,51074808,27183758
weak medium and coarse prismatic structure,Yes,51074809,27183759
structureless massive structure,Yes,51074810,27183760
moderate fine granular structure,Yes,51074811,27183753
moderate medium granular structure,Yes,51074812,27183761
weak coarse subangular blocky structure,Yes,51074813,27183755
structureless massive structure,Yes,51074814,27183756
moderate medium subangular blocky structure,Yes,51074815,27183754
moderate medium subangular blocky structure,Yes,51074816,27183752
