cropname,yldunits,nonirryield.l,nonirryield.r,nonirryield.h,irryield.l,irryield.r,irryield.h,cropprodindex,vasoiprdgrp,cokey,cocropyldkey
Corn,Bu,NA,148,NA,NA,NA,NA,NA,NA,17497729,36294856
Soybeans,Bu,NA,48,NA,NA,NA,NA,NA,NA,17497729,36294857
Winter wheat,Bu,NA,57,NA,NA,NA,NA,NA,NA,17497729,36294858
Grass-legume hay,Tons,NA,4.3,NA,NA,NA,NA,NA,NA,17497729,36294859
Grass-legume pasture,AUM,NA,6.3,NA,NA,NA,NA,NA,NA,17497729,36294860
Corn,Bu,NA,83,NA,NA,NA,NA,NA,NA,17497781,36295035
Soybeans,Bu,NA,28,NA,NA,NA,NA,NA,NA,17497781,36295036
Winter wheat,Bu,NA,35,NA,NA,NA,NA,NA,NA,17497781,36295037
Grass-legume hay,Tons,NA,2.6,NA,NA,NA,NA,NA,NA,17497781,36295038
Grass-legume pasture,AUM,NA,3.7,NA,NA,NA,NA,NA,NA,17497781,36295039
