cokey,mrulekey,mrulename,seqnum,rulekey,rulename,ruledepth,interpll,interpllc,interplr,interplrc,interphr,interphrc,interphh,interphhc,nullpropdatabool,defpropdatabool,incpropdatabool,cointerpkey
17497729,33265,AGR - Grape non-irrigated (MO),0,33265,AGR - Grape non-irrigated (MO),0,0.245,Poorly suited,0.245,Poorly suited,0.245,Poorly suited,0.245,Poorly suited,0,0,0,1561532410
17497729,33265,AGR - Grape non-irrigated (MO),1,33252,hort grape pH,1,0.245,poorly suited - pH,0.245,poorly suited - pH,0.245,poorly suited - pH,0.245,poorly suited - pH,0,0,0,1561532411
17497729,33265,AGR - Grape non-irrigated (MO),2,33266,hort grape flooding,1,0.355,Poorly Suited - Flooding,0.355,Poorly Suited - Flooding,0.355,Poorly Suited - Flooding,0.355,Poorly Suited - Flooding,0,0,0,1561532412
17497729,33265,AGR - Grape non-irrigated (MO),3,33257,hort grape om in surface,1,0.375,poorly suited - OM,0.375,poorly suited - OM,0.375,poorly suited - OM,0.375,poorly suited - OM,0,0,0,1561532413
17497729,33265,AGR - Grape non-irrigated (MO),4,33253,hort grape texture,1,0.756,well suited - Texture,0.756,well suited - Texture,0.756,well suited - Texture,0.756,well suited - Texture,0,0,0,1561532414
17497729,33265,AGR - Grape non-irrigated (MO),5,33256,hort grape awc,1,0.816,well suited - AWC,0.816,well suited - AWC,0.816,well suited - AWC,0.816,well suited - AWC,0,0,0,1561532415
17497729,26063,AWM - Animal Mortality Disposal (Catastrophic) (MO),0,26063,AWM - Animal Mortality Disposal (Catastrophic) (MO),0,1,Very Poorly Suited,1,Very Poorly Suited,1,Very Poorly Suited,1,Very Poorly Suited,0,0,0,1561532416
17497729,26063,AWM - Animal Mortality Disposal (Catastrophic) (MO),1,26056,AWM-Flooding > None w/Rare Fuzzy (Value 0.5),1,1,~flooding (common),1,~flooding (common),1,~flooding (common),1,~flooding (common),0,0,0,1561532417
17497729,26063,AWM - Animal Mortality Disposal (Catastrophic) (MO),2,26055,"AWM-Depth to HWT  (24-72"") (Apparent)",1,0.45,~high water table  (winter-early spring),0.45,~high water table  (winter-early spring),0.45,~high water table  (winter-early spring),0.45,~high water table  (winter-early spring),0,0,0,1561532418
17497729,26063,AWM - Animal Mortality Disposal (Catastrophic) (MO),3,26058,AWM-Permeability 60cm-180cm (ksat 4-141),1,0.007,~seepage (possible),0.155,~seepage (possible),0.155,~seepage (possible),0.301,~seepage (possible),0,0,0,1561532419
17497729,22382,FOR - Black Walnut Suitability Index (MO),0,22382,FOR - Black Walnut Suitability Index (MO),0,0.87,Well suited,0.87,Well suited,0.87,Well suited,0.87,Well suited,0,0,0,1561532420
17497729,22382,FOR - Black Walnut Suitability Index (MO),1,22311,BW: historic veg,1,0,Native Veg: Prairie in uplands,0,Native Veg: Prairie in uplands,0,Native Veg: Prairie in uplands,0,Native Veg: Prairie in uplands,0,0,0,1561532421
17497729,22382,FOR - Black Walnut Suitability Index (MO),2,20846,BW: pH,1,0.32,pH limiting factor,0.32,pH limiting factor,0.32,pH limiting factor,0.32,pH limiting factor,0,0,0,1561532422
17497729,22382,FOR - Black Walnut Suitability Index (MO),3,22304,BW: awc,1,0.974,"Available water capacity: 8-12""",0.974,"Available water capacity: 8-12""",0.974,"Available water capacity: 8-12""",0.974,"Available water capacity: 8-12""",0,0,0,1561532423
17497729,52252,FOR - White Oak Suitability (MO),0,52252,FOR - White Oak Suitability (MO),0,0,Not Rated,0,Not Rated,0,Not Rated,0,Not Rated,0,0,0,1561532424
17497729,52252,FOR - White Oak Suitability (MO),1,52246,White Oak Flooding Frequency,1,0,Not Rated,0,Not Rated,0,Not Rated,0,Not Rated,0,0,0,1561532425
17497729,52252,FOR - White Oak Suitability (MO),2,52245,White Oak Flooding Duration,1,0.5,"None, ext. brief, very brief",0.5,"None, ext. brief, very brief",0.5,"None, ext. brief, very brief",0.5,"None, ext. brief, very brief",0,0,0,1561532426
