texcl,lieutex,chtgkey,chtkey
Silt loam,,102096307,103849593
Silty clay loam,,102096308,103850263
Silt loam,,102096309,103849591
Silty clay loam,,102096310,103849762
Silt loam,,102096311,103849763
Silty clay loam,,102096312,103849764
Silt loam,,102096313,103849765
Silt loam,,102096299,103849734
Silty clay loam,,102096301,103850258
Silt loam,,102096302,103849733
Silt loam,,102096305,103849563
Silty clay loam,,102096306,103849564
Silt loam,,102096314,103849592
Silty clay loam,,102096315,103850128
Silt loam,,102096300,103849732
Silty clay loam,,102096303,103849561
Silt loam,,102096304,103849562
