texture,stratextsflag,rvindicator,texdesc,chkey,chtgkey
SIL,No ,Yes,Silt loam,51091950,102096299
SIL,No ,Yes,Silt loam,51091951,102096300
SICL,No ,No ,Silty clay loam,51091952,102096301
SIL,No ,Yes,Silt loam,51091952,102096302
SICL,No ,Yes,Silty clay loam,51091953,102096303
SIL,No ,No ,Silt loam,51091953,102096304
SIL,No ,Yes,Silt loam,51091954,102096305
SICL,No ,No ,Silty clay loam,51091954,102096306
SIL,No ,Yes,Silt loam,51091955,102096307
SICL,No ,No ,Silty clay loam,51091956,102096308
SIL,No ,Yes,Silt loam,51091956,102096309
SICL,No ,No ,Silty clay loam,51091957,102096310
SIL,No ,Yes,Silt loam,51091957,102096311
SICL,No ,Yes,Silty clay loam,51091958,102096312
SIL,No ,No ,Silt loam,51091958,102096313
SIL,No ,Yes,Silt loam,51091959,102096314
SICL,No ,No ,Silty clay loam,51091959,102096315
