monthseq,month,flodfreqcl,floddurcl,pondfreqcl,ponddurcl,ponddep.l,ponddep.r,ponddep.h,dlyavgprecip.l,dlyavgprecip.r,dlyavgprecip.h,dlyavgpotet.l,dlyavgpotet.r,dlyavgpotet.h,cokey,comonthkey
1,January,None,,None,,NA,NA,NA,NA,NA,NA,NA,NA,NA,17489279,183539591
2,February,None,,None,,NA,NA,NA,NA,NA,NA,NA,NA,NA,17489279,183539592
3,March,None,,None,,NA,NA,NA,NA,NA,NA,NA,NA,NA,17489279,183539593
4,April,None,,None,,NA,NA,NA,NA,NA,NA,NA,NA,NA,17489279,183539594
5,May,None,,None,,NA,NA,NA,NA,NA,NA,NA,NA,NA,17489279,183539595
6,June,None,,None,,NA,NA,NA,NA,NA,NA,NA,NA,NA,17489279,183539596
7,July,None,,None,,NA,NA,NA,NA,NA,NA,NA,NA,NA,17489279,183539597
8,August,None,,None,,NA,NA,NA,NA,NA,NA,NA,NA,NA,17489279,183539598
9,September,None,,None,,NA,NA,NA,NA,NA,NA,NA,NA,NA,17489279,183539599
10,October,None,,None,,NA,NA,NA,NA,NA,NA,NA,NA,NA,17489279,183539600
11,November,None,,None,,NA,NA,NA,NA,NA,NA,NA,NA,NA,17489279,183539601
12,December,None,,None,,NA,NA,NA,NA,NA,NA,NA,NA,NA,17489279,183539602
1,January,None,,None,,NA,NA,NA,NA,NA,NA,NA,NA,NA,17489280,183539603
2,February,None,,None,,NA,NA,NA,NA,NA,NA,NA,NA,NA,17489280,183539604
3,March,None,,None,,NA,NA,NA,NA,NA,NA,NA,NA,NA,17489280,183539605
4,April,None,,None,,NA,NA,NA,NA,NA,NA,NA,NA,NA,17489280,183539606
5,May,None,,None,,NA,NA,NA,NA,NA,NA,NA,NA,NA,17489280,183539607
6,June,None,,None,,NA,NA,NA,NA,NA,NA,NA,NA,NA,17489280,183539608
7,July,None,,None,,NA,NA,NA,NA,NA,NA,NA,NA,NA,17489280,183539609
8,August,None,,None,,NA,NA,NA,NA,NA,NA,NA,NA,NA,17489280,183539610
9,September,None,,None,,NA,NA,NA,NA,NA,NA,NA,NA,NA,17489280,183539611
10,October,None,,None,,NA,NA,NA,NA,NA,NA,NA,NA,NA,17489280,183539612
11,November,None,,None,,NA,NA,NA,NA,NA,NA,NA,NA,NA,17489280,183539613
12,December,None,,None,,NA,NA,NA,NA,NA,NA,NA,NA,NA,17489280,183539614
