wndbrkht.l,wndbrkht.r,wndbrkht.h,plantsym,plantsciname,plantcomname,cokey,copwindbreakkey
NA,9,NA,LIST2,Liquidambar styraciflua,sweetgum,17489279,94200117
NA,9,NA,NYSY,Nyssa sylvatica,blackgum,17489279,94200118
NA,5,NA,PIPU,Picea pungens,blue spruce,17489279,94200119
NA,3,NA,AMAR3,Amelanchier arborea,common serviceberry,17489279,94200120
NA,2,NA,COAM2,Cornus amomum,silky dogwood,17489279,94200121
NA,2,NA,JUCO6,Juniperus communis,common juniper,17489279,94200122
NA,2,NA,TACA7,Taxus canadensis,Canada yew,17489279,94200123
NA,12,NA,PODE3,Populus deltoides,eastern cottonwood,17489279,94200124
NA,9,NA,CEOC,Celtis occidentalis,common hackberry,17489279,94200125
NA,9,NA,QUBI,Quercus bicolor,swamp white oak,17489279,94200126
NA,5,NA,PINI,Pinus nigra,Austrian pine,17489279,94200127
NA,5,NA,THOC2,Thuja occidentalis,arborvitae,17489279,94200128
NA,3,NA,CODR,Cornus drummondii,roughleaf dogwood,17489279,94200129
NA,3,NA,CRCR2,Crataegus crus-galli,cockspur hawthorn,17489279,94200130
NA,3,NA,VIDE,Viburnum dentatum,southern arrowwood,17489279,94200131
NA,3,NA,VIRU,Viburnum rufidulum,rusty blackhaw,17489279,94200132
NA,2,NA,LIBE3,Lindera benzoin,northern spicebush,17489279,94200133
NA,12,NA,POCA19,Populus Ã—canadensis [deltoides Ã— nigra],Carolina poplar,17489279,94200134
NA,12,NA,QUPA2,Quercus palustris,pin oak,17489279,94200135
NA,5,NA,CAIL2,Carya illinoinensis,pecan,17489279,94200136
NA,5,NA,QUIM,Quercus imbricaria,Shingle oak,17489279,94200137
NA,5,NA,VILE,Viburnum lentago,nannyberry,17489279,94200138
NA,3,NA,HAMAM,Hamamelis,witchhazel,17489279,94200139
NA,3,NA,MAIO,Malus ioensis,prairie crabapple,17489279,94200140
NA,3,NA,VIPR,Viburnum prunifolium,blackhaw,17489279,94200141
NA,2,NA,ILVE,Ilex verticillata,common winterberry,17489279,94200142
NA,9,NA,ACRU,Acer rubrum,red maple,17489279,94200143
NA,9,NA,PIAB,Picea abies,Norway spruce,17489279,94200144
NA,5,NA,CRVI2,Crataegus viridis,green hawthorn,17489279,94200145
NA,5,NA,DIVI5,Diospyros virginiana,common persimmon,17489279,94200146
NA,5,NA,JUVI,Juniperus virginiana,eastern redcedar,17489279,94200147
NA,5,NA,PSME,Pseudotsuga menziesii,Douglas fir,17489279,94200148
NA,3,NA,ASTR,Asimina triloba,common pawpaw,17489279,94200149
NA,2,NA,ARME6,Aronia melanocarpa,black chokeberry,17489279,94200150
NA,2,NA,COSES,Cornus sericea ssp. sericea,redosier dogwood,17489279,94200151
NA,2,NA,PHOP,Physocarpus opulifolius,common ninebark,17489279,94200152
NA,2,NA,SANIC4,Sambucus nigra ssp. canadensis,common elderberry,17489279,94200153
NA,2,NA,VIOPA2,Viburnum opulus var. americanum,American cranberrybush,17489279,94200154
NA,9,NA,ACRU,Acer rubrum,red maple,17489280,94200155
NA,9,NA,PIAB,Picea abies,Norway spruce,17489280,94200156
NA,5,NA,CRVI2,Crataegus viridis,green hawthorn,17489280,94200157
NA,5,NA,DIVI5,Diospyros virginiana,common persimmon,17489280,94200158
NA,5,NA,JUVI,Juniperus virginiana,eastern redcedar,17489280,94200159
NA,5,NA,PSME,Pseudotsuga menziesii,Douglas fir,17489280,94200160
NA,3,NA,ASTR,Asimina triloba,common pawpaw,17489280,94200161
NA,2,NA,ARME6,Aronia melanocarpa,black chokeberry,17489280,94200162
NA,2,NA,COSES,Cornus sericea ssp. sericea,redosier dogwood,17489280,94200163
NA,2,NA,PHOP,Physocarpus opulifolius,common ninebark,17489280,94200164
NA,2,NA,SANIC4,Sambucus nigra ssp. canadensis,common elderberry,17489280,94200165
NA,2,NA,VIOPA2,Viburnum opulus var. americanum,American cranberrybush,17489280,94200166
NA,12,NA,POCA19,Populus Ã—canadensis [deltoides Ã— nigra],Carolina poplar,17489280,94200167
NA,12,NA,QUPA2,Quercus palustris,pin oak,17489280,94200168
NA,5,NA,CAIL2,Carya illinoinensis,pecan,17489280,94200169
NA,5,NA,QUIM,Quercus imbricaria,Shingle oak,17489280,94200170
NA,5,NA,VILE,Viburnum lentago,nannyberry,17489280,94200171
NA,3,NA,HAMAM,Hamamelis,witchhazel,17489280,94200172
NA,3,NA,MAIO,Malus ioensis,prairie crabapple,17489280,94200173
NA,3,NA,VIPR,Viburnum prunifolium,blackhaw,17489280,94200174
NA,2,NA,ILVE,Ilex verticillata,common winterberry,17489280,94200175
NA,12,NA,PODE3,Populus deltoides,eastern cottonwood,17489280,94200176
NA,9,NA,CEOC,Celtis occidentalis,common hackberry,17489280,94200177
NA,9,NA,QUBI,Quercus bicolor,swamp white oak,17489280,94200178
NA,5,NA,PINI,Pinus nigra,Austrian pine,17489280,94200179
NA,5,NA,THOC2,Thuja occidentalis,arborvitae,17489280,94200180
NA,3,NA,CODR,Cornus drummondii,roughleaf dogwood,17489280,94200181
NA,3,NA,CRCR2,Crataegus crus-galli,cockspur hawthorn,17489280,94200182
NA,3,NA,VIDE,Viburnum dentatum,southern arrowwood,17489280,94200183
NA,3,NA,VIRU,Viburnum rufidulum,rusty blackhaw,17489280,94200184
NA,2,NA,LIBE3,Lindera benzoin,northern spicebush,17489280,94200185
NA,9,NA,LIST2,Liquidambar styraciflua,sweetgum,17489280,94200186
NA,9,NA,NYSY,Nyssa sylvatica,blackgum,17489280,94200187
NA,5,NA,PIPU,Picea pungens,blue spruce,17489280,94200188
NA,3,NA,AMAR3,Amelanchier arborea,common serviceberry,17489280,94200189
NA,2,NA,COAM2,Cornus amomum,silky dogwood,17489280,94200190
NA,2,NA,JUCO6,Juniperus communis,common juniper,17489280,94200191
NA,2,NA,TACA7,Taxus canadensis,Canada yew,17489280,94200192
