desgnsuffix,chkey,chdesgnsfxkey
p,51132049,20159717
t,51132050,20159718
g,51132050,20159719
t,51132051,20159720
g,51132051,20159721
g,51132052,20159603
p,51132053,20159705
t,51132054,20159709
t,51132055,20159706
g,51132055,20159707
g,51132056,20159708
g,51132057,20159722
p,51132058,20159712
g,51132059,20159713
t,51132060,20159714
g,51132060,20159715
g,51132061,20159716
p,51132062,20159710
t,51132063,20159711
t,51132065,20159564
g,51132065,20159565
p,51132066,20159560
t,51132067,20159561
g,51132067,20159562
g,51132068,20159563
p,51132385,20159475
g,51132386,20159476
t,51132387,20159477
g,51132387,20159478
g,51132388,20159479
p,51132389,20159397
t,51132390,20159398
t,51132392,20159473
g,51132392,20159474
p,51132393,20159469
t,51132394,20159470
g,51132394,20159471
g,51132395,20159472
g,51132397,20159485
p,51132398,20159480
g,51132399,20159481
t,51132399,20159482
g,51132400,20159483
t,51132400,20159484
p,51132401,20159486
g,51132402,20159487
t,51132403,20159488
g,51132404,20159489
t,51132404,20159490
g,51132405,20159491
t,51132427,20159407
g,51132427,20159408
p,51132428,20159403
t,51132429,20159404
g,51132429,20159405
g,51132430,20159406
g,51132431,20159582
t,51132431,20159583
g,51132432,20159584
t,51132432,20159585
g,51132434,20159586
p,51132435,20159581
