cropname,yldunits,nonirryield.l,nonirryield.r,nonirryield.h,irryield.l,irryield.r,irryield.h,cropprodindex,vasoiprdgrp,cokey,cocropyldkey
Grass-legume pasture,AUM,7.4,8.33,10.9,NA,NA,NA,NA,NA,17501924,36313519
Corn,Bu,154,172,195,NA,NA,NA,NA,NA,17501924,36313520
Grass-legume hay,Tons,4.5,5,5.64,NA,NA,NA,NA,NA,17501924,36313521
Oats,Bu,80,89,100,NA,NA,NA,NA,NA,17501924,36313522
Soybeans,Bu,50,56,63,NA,NA,NA,NA,NA,17501924,36313523
Winter wheat,Bu,58,64,73,NA,NA,NA,NA,NA,17501924,36313524
Corn,Bu,159,177,200,NA,NA,NA,NA,NA,17501925,36313525
Soybeans,Bu,50,56,64,NA,NA,NA,NA,NA,17501925,36313526
Winter wheat,Bu,60,67,75,NA,NA,NA,NA,NA,17501925,36313527
Oats,Bu,83,92,104,NA,NA,NA,NA,NA,17501925,36313528
Grass-legume hay,Tons,4.8,5.33,6,NA,NA,NA,NA,NA,17501925,36313529
Grass-legume pasture,AUM,8,8.88,10,NA,NA,NA,NA,NA,17501925,36313530
Corn,Bu,127,141,159,NA,NA,NA,NA,NA,17501926,36313531
Soybeans,Bu,41,46,52,NA,NA,NA,NA,NA,17501926,36313532
Winter wheat,Bu,51,57,64,NA,NA,NA,NA,NA,17501926,36313533
Oats,Bu,61,68,77,NA,NA,NA,NA,NA,17501926,36313534
Grass-legume hay,Tons,3.9,4.3,4.9,NA,NA,NA,NA,NA,17501926,36313535
Grass-legume pasture,AUM,6.5,7.2,8.2,NA,NA,NA,NA,NA,17501926,36313536
Corn,Bu,132,147,166,NA,NA,NA,NA,NA,17501927,36313537
Soybeans,Bu,43,48,54,NA,NA,NA,NA,NA,17501927,36313538
Winter wheat,Bu,52,58,65,NA,NA,NA,NA,NA,17501927,36313539
Oats,Bu,67,74,84,NA,NA,NA,NA,NA,17501927,36313540
Grass-legume pasture,AUM,7,7.77,8.8,NA,NA,NA,NA,NA,17501927,36313541
Grass-legume hay,Tons,4.2,4.66,5.3,NA,NA,NA,NA,NA,17501927,36313542
Corn,Bu,151,167,189,NA,NA,NA,NA,NA,17501928,36313543
Soybeans,Bu,47,52,59,NA,NA,NA,NA,NA,17501928,36313544
Winter wheat,Bu,60,66,74,NA,NA,NA,NA,NA,17501928,36313545
Oats,Bu,80,89,101,NA,NA,NA,NA,NA,17501928,36313546
Grass-legume hay,Tons,5.4,6,6.8,NA,NA,NA,NA,NA,17501928,36313547
Grass-legume pasture,AUM,9,10.1,11.3,NA,NA,NA,NA,NA,17501928,36313548
Corn silage,Tons,25,28.9,32.6,NA,NA,NA,NA,NA,17501929,36313549
Grass-legume hay,Tons,4.3,5.1,5.8,NA,NA,NA,NA,NA,17501929,36313550
Grass-legume pasture,AUM,4.5,8.5,9.7,NA,NA,NA,NA,NA,17501929,36313551
Corn,Bu,153,170,192,NA,NA,NA,NA,NA,17501929,36313552
Oats,Bu,79,88,99,NA,NA,NA,NA,NA,17501929,36313553
Soybeans,Bu,50,56,63,NA,NA,NA,NA,NA,17501929,36313554
Winter wheat,Bu,59,65,74,NA,NA,NA,NA,NA,17501929,36313555
Corn,Bu,153,170,192,NA,NA,NA,NA,NA,17502050,36314067
Oats,Bu,79,88,99,NA,NA,NA,NA,NA,17502050,36314068
Soybeans,Bu,50,56,63,NA,NA,NA,NA,NA,17502050,36314069
Winter wheat,Bu,59,65,74,NA,NA,NA,NA,NA,17502050,36314070
Grass-legume hay,Tons,4.3,5.1,5.8,NA,NA,NA,NA,NA,17502050,36314071
Grass-legume pasture,AUM,4.5,8.5,9.7,NA,NA,NA,NA,NA,17502050,36314072
Corn silage,Tons,25,28.9,32.6,NA,NA,NA,NA,NA,17502050,36314073
Corn,Bu,152,169,191,NA,NA,NA,NA,NA,17502051,36314074
Grass-legume hay,Tons,4.7,5.2,5.9,NA,NA,NA,NA,NA,17502051,36314075
Oats,Bu,80,89,100,NA,NA,NA,NA,NA,17502051,36314076
Soybeans,Bu,50,55,62,NA,NA,NA,NA,NA,17502051,36314077
Winter wheat,Bu,61,68,77,NA,NA,NA,NA,NA,17502051,36314078
Grass-legume pasture,AUM,7.8,8.7,10.2,NA,NA,NA,NA,NA,17502051,36314079
Corn,Bu,158,175,197,NA,NA,NA,NA,NA,17502052,36314080
Soybeans,Bu,49,54,61,NA,NA,NA,NA,NA,17502052,36314081
Winter wheat,Bu,59,65,74,NA,NA,NA,NA,NA,17502052,36314082
Oats,Bu,75,83,94,NA,NA,NA,NA,NA,17502052,36314083
Grass-legume hay,Tons,4.6,5.11,6.1,NA,NA,NA,NA,NA,17502052,36314084
Grass-legume pasture,AUM,7.67,8.52,9.62,NA,NA,NA,NA,NA,17502052,36314085
Corn,Bu,127,141,159,NA,NA,NA,NA,NA,17502039,36314005
Soybeans,Bu,41,46,52,NA,NA,NA,NA,NA,17502039,36314006
Winter wheat,Bu,51,57,64,NA,NA,NA,NA,NA,17502039,36314007
Oats,Bu,61,68,77,NA,NA,NA,NA,NA,17502039,36314008
Grass-legume hay,Tons,3.9,4.3,4.9,NA,NA,NA,NA,NA,17502039,36314009
Grass-legume pasture,AUM,6.5,7.2,8.2,NA,NA,NA,NA,NA,17502039,36314010
Corn,Bu,151,167,189,NA,NA,NA,NA,NA,17502040,36314011
Soybeans,Bu,47,52,59,NA,NA,NA,NA,NA,17502040,36314012
Winter wheat,Bu,60,66,74,NA,NA,NA,NA,NA,17502040,36314013
Oats,Bu,80,89,101,NA,NA,NA,NA,NA,17502040,36314014
Grass-legume hay,Tons,5.4,6,6.8,NA,NA,NA,NA,NA,17502040,36314015
Grass-legume pasture,AUM,9,10.1,11.3,NA,NA,NA,NA,NA,17502040,36314016
Corn silage,Tons,25,28.9,32.6,NA,NA,NA,NA,NA,17502041,36314017
Grass-legume hay,Tons,4.3,5.1,5.8,NA,NA,NA,NA,NA,17502041,36314018
Grass-legume pasture,AUM,4.5,8.5,9.7,NA,NA,NA,NA,NA,17502041,36314019
Corn,Bu,153,170,192,NA,NA,NA,NA,NA,17502041,36314020
Oats,Bu,79,88,99,NA,NA,NA,NA,NA,17502041,36314021
Soybeans,Bu,50,56,63,NA,NA,NA,NA,NA,17502041,36314022
Winter wheat,Bu,59,65,74,NA,NA,NA,NA,NA,17502041,36314023
Corn,Bu,152,169,191,NA,NA,NA,NA,NA,17502042,36314024
Grass-legume hay,Tons,4.7,5.2,5.9,NA,NA,NA,NA,NA,17502042,36314025
Oats,Bu,80,89,100,NA,NA,NA,NA,NA,17502042,36314026
Soybeans,Bu,50,55,62,NA,NA,NA,NA,NA,17502042,36314027
Winter wheat,Bu,61,68,77,NA,NA,NA,NA,NA,17502042,36314028
Grass-legume pasture,AUM,7.8,8.7,10.2,NA,NA,NA,NA,NA,17502042,36314029
Oats,Bu,83,92,104,NA,NA,NA,NA,NA,17502043,36314030
Grass-legume hay,Tons,4.8,5.33,6,NA,NA,NA,NA,NA,17502043,36314031
