pmgroupname,rvindicator,cokey,copmgrpkey
loess over stratified loamy outwash,Yes,17501924,12654735
Peoria loess,Yes,17501925,12654736
Peoria loess,Yes,17501926,12654737
Peoria loess,Yes,17501927,12654738
Peoria loess,Yes,17501928,12654739
loess,Yes,17501929,12654740
loess,Yes,17502039,12654849
loess,Yes,17502040,12654850
loess,Yes,17502041,12654851
loess,Yes,17502042,12654852
Peoria loess,Yes,17502043,12654853
loess,Yes,17502049,12654859
loess,Yes,17502050,12654860
loess,Yes,17502051,12654861
loess over stratified loamy outwash,Yes,17502052,12654862
loess,Yes,17502053,12654863
