geomposmntn,geomposhill,geompostrce,geomposflats,cogeomdkey,cosurfmorgckey
NA,,,Dip,26530183,9717852
NA,,,Dip,26530185,9717853
NA,,,Talf,26530187,9717854
NA,Interfluve,,Talf,26530189,9717855
NA,,,Dip,26530217,9717871
NA,Interfluve,,,26530243,9717788
NA,Side Slope,,,26530243,9717789
NA,Head Slope,,,26530243,9717790
NA,,,Dip,26530261,9717807
NA,,,Rise,26530263,9717808
NA,,,Talf,26530265,9717809
NA,,,Talf,26530267,9717810
NA,,,Talf,26530275,9717815
NA,Interfluve,,Talf,26530291,9717823
NA,Interfluve,,,26530293,9717824
NA,Side Slope,,,26530293,9717825
NA,,,Dip,26530295,9717826
NA,,,Dip,26530297,9717827
NA,Base Slope,,,26530298,9717831
NA,,,Dip,26530300,9717828
