geomposmntn,geomposhill,geompostrce,geomposflats,cogeomdkey,cosurfmorgckey
NA,,,Dip,26521836,9713864
NA,Interfluve,,,26521848,9713870
NA,Head Slope,,,26521848,9713871
NA,Side Slope,,,26521848,9713872
NA,,,Dip,26521850,9713873
NA,,,Dip,26521852,9713874
NA,,,Dip,26521860,9713878
NA,,,Talf,26521862,9713879
NA,,,Talf,26521868,9713799
NA,Interfluve,,,26521886,9713815
NA,,,Dip,26521890,9713819
NA,Interfluve,,,26521903,9713824
NA,,,Dip,26521905,9713825
NA,Interfluve,,,26521919,9713828
NA,Interfluve,,,26521945,9713846
NA,Head Slope,,,26521945,9713847
