structgrade,structsize,structtype,structid,structpartsto,chstructgrpkey,chstructkey
Weak,Fine,Granular,NA,NA,27178178,33230396
Moderate,Fine,Prismatic,1,2,27178179,33230397
Moderate,Fine,Angular blocky,2,NA,27178179,33230398
Weak,Coarse,Subangular blocky,NA,NA,27178180,33230399
Structureless,,Massive,NA,NA,27178181,33230400
Weak,Fine,Granular,NA,NA,27178299,33230537
Moderate,Medium,Angular blocky,NA,NA,27178300,33230538
Structureless,,Massive,NA,NA,27178301,33230539
Moderate,Fine,Prismatic,NA,NA,27178302,33230540
Weak,Fine,Granular,NA,NA,27178303,33230541
Moderate,Medium,Prismatic,1,2,27178304,33230542
Moderate,Medium,Angular blocky,2,NA,27178304,33230543
Weak,Coarse,Subangular blocky,NA,NA,27178305,33230544
Structureless,,Massive,NA,NA,27178306,33230545
Weak,Fine,Granular,NA,NA,27178307,33230546
Moderate,Fine,Prismatic,1,2,27178308,33230547
Moderate,Fine,Angular blocky,2,NA,27178308,33230548
Weak,Coarse,Subangular blocky,NA,NA,27178309,33230549
Structureless,,Massive,NA,NA,27178310,33230550
Structureless,,Massive,NA,NA,27178419,33230683
Weak,Fine,Granular,NA,NA,27178420,33230684
Moderate,Medium,Subangular blocky,NA,NA,27178421,33230685
Weak,Coarse,Subangular blocky,NA,NA,27178422,33230686
Moderate,Fine,Granular,NA,NA,27178423,33230687
Weak,Thin,Platy,NA,NA,27178424,33230688
Moderate,Fine,Prismatic,1,2,27178425,33230689
Moderate,Fine,Angular blocky,2,NA,27178425,33230690
Weak,Fine,Prismatic,NA,NA,27178426,33230691
Structureless,,Massive,NA,NA,27178427,33230692
