cropname,yldunits,nonirryield.l,nonirryield.r,nonirryield.h,irryield.l,irryield.r,irryield.h,cropprodindex,vasoiprdgrp,cokey,cocropyldkey
Soybeans,Bu,50,56,63,NA,NA,NA,NA,NA,17482205,36224114
Winter wheat,Bu,58,64,73,NA,NA,NA,NA,NA,17482205,36224115
Oats,Bu,80,89,100,NA,NA,NA,NA,NA,17482205,36224116
Grass-legume hay,Tons,4.5,5,5.64,NA,NA,NA,NA,NA,17482205,36224117
Corn,Bu,154,172,195,NA,NA,NA,NA,NA,17482205,36224118
Grass-legume pasture,AUM,7.4,8.33,10.9,NA,NA,NA,NA,NA,17482205,36224119
Corn,Bu,131,145,164,NA,NA,NA,NA,NA,17482206,36224120
Soybeans,Bu,43,48,55,NA,NA,NA,NA,NA,17482206,36224121
Winter wheat,Bu,49,54,61,NA,NA,NA,NA,NA,17482206,36224122
Oats,Bu,62,69,78,NA,NA,NA,NA,NA,17482206,36224123
Grass-legume hay,Tons,4,4.44,5.02,NA,NA,NA,NA,NA,17482206,36224124
Grass-legume pasture,AUM,6.66,7.4,8.37,NA,NA,NA,NA,NA,17482206,36224125
Corn,Bu,145,161,182,NA,NA,NA,NA,NA,17482207,36224126
Soybeans,Bu,46,51,57,NA,NA,NA,NA,NA,17482207,36224127
Winter wheat,Bu,54,60,68,NA,NA,NA,NA,NA,17482207,36224128
Oats,Bu,71,79,89,NA,NA,NA,NA,NA,17482207,36224129
Grass-legume hay,Tons,4.29,4.77,5.39,NA,NA,NA,NA,NA,17482207,36224130
Grass-legume pasture,AUM,7.16,7.95,8.98,NA,NA,NA,NA,NA,17482207,36224131
Corn,Bu,158,175,197,NA,NA,NA,NA,NA,17482121,36223667
Soybeans,Bu,49,54,61,NA,NA,NA,NA,NA,17482121,36223668
Winter wheat,Bu,59,65,74,NA,NA,NA,NA,NA,17482121,36223669
Oats,Bu,75,83,94,NA,NA,NA,NA,NA,17482121,36223670
Grass-legume pasture,AUM,7.67,8.52,9.62,NA,NA,NA,NA,NA,17482121,36223671
Grass-legume hay,Tons,4.6,5.11,6.1,NA,NA,NA,NA,NA,17482121,36223672
Corn,Bu,136,151,170,NA,NA,NA,NA,NA,17482122,36223673
Soybeans,Bu,44,49,55,NA,NA,NA,NA,NA,17482122,36223674
Winter wheat,Bu,53,59,66,NA,NA,NA,NA,NA,17482122,36223675
Oats,Bu,70,78,88,NA,NA,NA,NA,NA,17482122,36223676
Grass-legume hay,Tons,4.1,4.55,5.14,NA,NA,NA,NA,NA,17482122,36223677
Grass-legume pasture,AUM,6.83,7.58,8.57,NA,NA,NA,NA,NA,17482122,36223678
Corn,Bu,155,172,195,NA,NA,NA,NA,NA,17482123,36223679
Soybeans,Bu,50,56,63,NA,NA,NA,NA,NA,17482123,36223680
Winter wheat,Bu,58,64,73,NA,NA,NA,NA,NA,17482123,36223681
Oats,Bu,80,89,100,NA,NA,NA,NA,NA,17482123,36223682
Grass-legume hay,Tons,4.5,5,5.64,NA,NA,NA,NA,NA,17482123,36223683
Grass-legume pasture,AUM,7.5,8.33,9.4,NA,NA,NA,NA,NA,17482123,36223684
