geomposmntn,geomposhill,geompostrce,geomposflats,cogeomdkey,cosurfmorgckey
NA,Interfluve,,,26490112,9696599
NA,,Tread,,26490113,9696600
NA,Base Slope,,,26490115,9696603
NA,Base Slope,,,26490116,9696602
NA,,,Talf,26490117,9696604
NA,,Tread,,26490119,9696605
NA,Base Slope,,Dip,26490120,9696606
NA,Base Slope,,,26490121,9696607
NA,,,Talf,26490274,9696656
NA,Base Slope,,,26490275,9696650
NA,Base Slope,,,26490276,9696651
NA,Base Slope,,,26490277,9696601
NA,,,Dip,26490279,9696653
NA,,,Dip,26490280,9696652
NA,,,Dip,26490282,9696654
NA,,,Dip,26490283,9696655
