site,crop,year,plant_date,plant_doy
ames,corn,1999,139,139
ames,corn,2000,126,126
ames,corn,2001,129,129
ames,corn,2002,123,123
ames,corn,2003,119,119
ames,corn,2004,118,118
ames,corn,2005,130,130
ames,corn,2006,129,129
ames,corn,2007,133,133
ames,corn,2008,135,135
ames,corn,2009,125,125
ames,corn,2010,119,119
ames,corn,2011,131,131
ames,corn,2012,131,131
ames,corn,2013,144,144
ames,corn,2014,127,127
ames,corn,2015,133,133
ames,corn,2016,118,118
nash,corn,2005,117,117
nash,corn,2006,117,117
nash,corn,2007,123,123
nash,corn,2008,127,127
nash,corn,2009,106,106
nash,corn,2010,108,108
nash,corn,2011,125,125
nash,corn,2012,116,116
nash,corn,2013,134,134
nash,corn,2014,126,126
nash,corn,2015,108,108
nash,corn,2016,108,108
craw,corn,1999,130,130
craw,corn,2000,116,116
craw,corn,2001,161,161
craw,corn,2002,140,140
craw,corn,2003,138,138
craw,corn,2004,118,118
craw,corn,2005,108,108
craw,corn,2006,116,116
craw,corn,2007,121,121
craw,corn,2008,129,129
craw,corn,2009,125,125
craw,corn,2010,140,140
craw,corn,2011,122,122
craw,corn,2012,143,143
craw,corn,2013,120,120
craw,corn,2014,127,127
craw,corn,2015,127,127
craw,corn,2016,111,111
mcna,corn,1999,146,146
mcna,corn,2000,126,126
mcna,corn,2001,122,122
mcna,corn,2002,127,127
mcna,corn,2003,134,134
mcna,corn,2004,119,119
mcna,corn,2005,119,119
mcna,corn,2006,109,109
mcna,corn,2007,123,123
mcna,corn,2008,126,126
mcna,corn,2009,114,114
mcna,corn,2010,110,110
mcna,corn,2011,121,121
mcna,corn,2012,136,136
mcna,corn,2013,147,147
mcna,corn,2014,127,127
mcna,corn,2015,118,118
mcna,corn,2016,111,111
lewi,corn,2001,118,118
lewi,corn,2002,116,116
lewi,corn,2003,133,133
lewi,corn,2004,108,108
lewi,corn,2005,119,119
lewi,corn,2006,113,113
lewi,corn,2007,113,113
lewi,corn,2008,126,126
lewi,corn,2009,114,114
lewi,corn,2010,119,119
lewi,corn,2011,121,121
lewi,corn,2012,115,115
lewi,corn,2013,135,135
lewi,corn,2014,128,128
lewi,corn,2015,120,120
lewi,corn,2016,117,117
suth,corn,2000,112,112
suth,corn,2001,120,120
suth,corn,2002,120,120
suth,corn,2003,127,127
suth,corn,2004,121,121
suth,corn,2005,122,122
suth,corn,2006,116,116
suth,corn,2007,110,110
suth,corn,2008,114,114
suth,corn,2009,107,107
suth,corn,2010,123,123
suth,corn,2011,120,120
suth,corn,2012,115,115
suth,corn,2013,133,133
suth,corn,2014,125,125
suth,corn,2015,117,117
suth,corn,2016,139,139
kana,corn,2005,124,124
kana,corn,2006,126,126
kana,corn,2007,124,124
kana,corn,2008,127,127
kana,corn,2009,114,114
kana,corn,2010,119,119
kana,corn,2011,119,119
kana,corn,2012,131,131
kana,corn,2013,134,134
kana,corn,2014,140,140
kana,corn,2015,120,120
kana,corn,2016,110,110
