site,profile_cm,pClay,pSand,pSilt,pSOC,pOM,bden,ll,dul,sat,swcon,ksat,paw_mm,dp_mm
Ames,0-30,16.74,33.26833333,49.99,2.328,4.00416,1.293,12.9,29.8,51.2,41.5,26.52694895,50.7,64.2
Ames,120-150,16.72666667,25.06,58.21666667,0.49,0.8428,1.537,10.9,28,42,23.6,8.610085203,51.3,42
Ames,150-180,19.07,38.11666667,42.64,0.49,0.8428,1.548,12.2,26.1,41.6,25.4,10.42036457,41.7,46.5
Ames,30-60,19.41,40.38666667,40.20333333,1.46,2.5112,1.434,13.4,27.6,45.9,31.3,16.31321895,42.6,54.9
Ames,60-90,18.88666667,42.54666667,38.56666667,0.73,1.2556,1.526,12.3,25.5,42.4,28.1,13.08304003,39.6,50.7
Ames,90-120,19.53333333,39.23666667,41.22666667,0.49,0.8428,1.548,12.4,26.1,41.6,25.3,10.33792664,41.1,46.5
Crawfordsville,0-30,23.1575,8.4875,68.3575,2.7478,4.726216,1.142,16.2,37.1,56.9,36.3,21.29346719,62.7,59.4
Crawfordsville,120-150,23.15,7.61,69.135,0.231,0.39732,1.497,14.5,33.9,43.5,17.9,2.876261674,58.2,28.8
Crawfordsville,150-180,22.315,7.875,69.81,0.233,0.40076,1.503,14,33.6,43.3,18,3.00804592,58.8,29.1
Crawfordsville,30-60,20.915,5.885,73.2,1.452666667,2.498586667,1.325,14.1,35.3,50,24.7,9.721278886,63.6,44.1
Crawfordsville,60-90,19.695,6.01,74.305,0.236,0.40592,1.521,12.6,33.1,42.6,18,3.002062966,61.5,28.5
Crawfordsville,90-120,19.225,6.28,74.49,0.232,0.39904,1.526,12.3,32.9,42.4,18,3.035644045,61.8,28.5
Kanawha,0-30,19.25,29.98,50.51,2.938,5.05336,1.203,14.7,32.5,54.6,43.5,28.51132859,53.4,66.3
Kanawha,120-150,17.58,27.90333333,54.26666667,0.6,1.032,1.521,11.5,27.9,42.6,24.6,9.569003701,49.2,44.1
Kanawha,150-180,16.64666667,46.21,37.14333333,0.58,0.9976,1.553,10.8,23.4,41.4,30.9,15.93095314,37.8,54
Kanawha,30-60,17.34333333,41.74666667,40.90666667,1.31,2.2532,1.452,12.1,26.2,45.2,33.5,18.5271268,42.3,57
